GEOID,NAME,variable,estimate,moe,totpop,totnhisp_wh,totnhisp_bk,totnhisp_as,medhhinc,medhhinc_wh,medhhinc_bk,tenure,ten_ownocc,ten_renter,w_ten_renter,b_tenure,b_ten_ownocc,b_ten_renter,moe_totpop,moe_totnhisp_wh,moe_totnhisp_bk,moe_B03002_006,moe_medhhinc,moe_medhhinc_wh,moe_medhhinc_bk,moe_tenure,moe_ten_ownocc,moe_ten_renter,moe_w_ten_renter,moe_b_tenure,moe_b_ten_ownocc,moe_b_ten_renter,pct_black,moe_pct_black,pct_white_renter,moe_white_renter,pct_bnh_renter,pct_bnh_renter2,pct_renter,moe_bnh_renter,pct_non_white,pct_asian,DRR1516,DRR1516C,DRR2122,DRR2122C
"421010010013","Block Group 3, Census Tract 10.01, Philadelphia County, Pennsylvania",B03002_001,"1721","233","1721","1524","5","69","86462",,,"1194","862","332","322","0","0","0","233","219","9","65","27851",,,"166","148","114","116","11","11","11","0.29","0.52","96.98999999999999","10.57","0","0","27.81","3.31","11.45","4.01","0.789873",0.5 - 1.0,"-1.927329",Below Area Average
"421010266001","Block Group 1, Census Tract 266, Philadelphia County, Pennsylvania",B03002_001,"3141","982","3141","34","2770","0","45882",,,"1308","1017","291","0","1271","980","291","982","54","915","11","12259",,,"308","271","184","11","306","276","184","88.19","9.4","0","3.78","100","22.25","22.25","89.42","98.92","0","-1.189227",Below Area Average,"-1.335129",Below Area Average
"421010269001","Block Group 1, Census Tract 269, Philadelphia County, Pennsylvania",B03002_001,"990","379","990","423","487","0",,,,"241","143","98","0","161","63","98","379","290","252","11",,,,"89","65","62","11","78","49","62","49.19","17.13","0","11.22","100","40.66","40.66","89.47","57.27","0","-0.905427",Below Area Average,NULL,Insufficient Data
"421010011022","Block Group 2, Census Tract 11.02, Philadelphia County, Pennsylvania",B03002_001,"322","117","322","287","24","6","68715",,,"235","86","149","119","24","0","24","117","115","33","9","23174",,,"80","54","70","63","33","11","33","7.45","9.880000000000001","79.87","19.49","16.11","10.21","63.4","20.81","10.87","1.86","-0.031827",Below Area Average,"-1.497129",Below Area Average
"421010191003","Block Group 3, Census Tract 191, Philadelphia County, Pennsylvania",B03002_001,"756","510","756","39","107","0","43432",,,"223","177","46","0","29","29","0","510","47","246","11","17388",,,"121","119","60","11","62","62","11","14.15","31.11","0","23.91","0","0","20.63","23.91","94.84","0","-0.062127",Below Area Average,"-0.551429",Below Area Average
"421010363032","Block Group 2, Census Tract 363.03, Philadelphia County, Pennsylvania",B03002_001,"971","372","971","816","63","0","101337",,,"404","395","9","9","18","18","0","372","318","111","11","36388",,,"133","136","17","17","31","31","11","6.49","11.16","100","267.13","0","0","2.23","122.22","15.96","0","-0.515927",Below Area Average,"-1.764729",Below Area Average
"421010110002","Block Group 2, Census Tract 110, Philadelphia County, Pennsylvania",B03002_001,"1170","701","1170","175","980","0","16949",,,"466","213","253","42","377","166","211","701","201","702","11","4222",,,"150","90","137","40","156","82","134","83.76000000000001","32.89","16.6","13.01","83.40000000000001","45.28","54.29","27.67","85.04000000000001","0","-2.143427",Below Area Average,"-1.779429",Below Area Average
"421019809016","Block Group 6, Census Tract 9809.01, Philadelphia County, Pennsylvania",B03002_001,"0","11","0","0","0","0",,,,"0","0","0","0","0","0","0","11","11","11","11",,,,"11","11","11","11","11","11","11",,,,,,,,,,,NULL,Insufficient Data,NULL,Insufficient Data
"421010102002","Block Group 2, Census Tract 102, Philadelphia County, Pennsylvania",B03002_001,"1535","406","1535","17","1387","0","13092",,,"635","122","513","39","596","122","474","406","26","410","11","3701",,,"159","81","159","38","157","81","157","90.36","11.93","7.6","7.02","92.40000000000001","74.65000000000001","80.79000000000001","10.79","98.89","0","-2.104627",Below Area Average,"-2.150029",Below Area Average
"421010032002","Block Group 2, Census Tract 32, Philadelphia County, Pennsylvania",B03002_001,"712","344","712","183","350","0",,,,"275","133","142","69","180","123","57","344","180","220","11",,,,"110","88","82","57","97","87","51","49.16","19.77","48.59","28.7","40.14","20.73","51.64","27.43","74.3","0","1.205973",1.0 - 1.5,"12.583771",3.0 or Above
"421010198003","Block Group 3, Census Tract 198, Philadelphia County, Pennsylvania",B03002_001,"1003","399","1003","0","274","0","30647",,,"413","287","126","53","194","122","72","399","11","207","11","14932",,,"160","160","92","63","136","111","83","27.32","17.55","42.06","39.46","57.14","17.43","30.51","50.97","100","0","-1.330727",Below Area Average,"-1.602229",Below Area Average
"421010134021","Block Group 1, Census Tract 134.02, Philadelphia County, Pennsylvania",B03002_001,"817","350","817","627","79","6","111219",,,"481","178","303","262","77","53","24","350","339","64","14","16010",,,"163","90","153","146","64","53","37","9.67","6.65","86.47","20.38","7.92","4.99","62.99","11.54","23.26","0.73","-0.037727",Below Area Average,"-1.750629",Below Area Average
"421019805001","Block Group 1, Census Tract 9805, Philadelphia County, Pennsylvania",B03002_001,"0","11","0","0","0","0",,,,"0","0","0","0","0","0","0","11","11","11","11",,,,"11","11","11","11","11","11","11",,,,,,,,,,,NULL,Insufficient Data,NULL,Insufficient Data
"421010078001","Block Group 1, Census Tract 78, Philadelphia County, Pennsylvania",B03002_001,"977","368","977","477","357","47",,,,"475","118","357","242","135","61","74","368","198","210","68",,,,"176","84","162","116","136","69","116","36.54","16.51","67.79000000000001","10.47","20.73","15.58","75.16","31.1","51.18","4.81","8.328373",3.0 or Above,"12.772871",3.0 or Above
"421010032005","Block Group 5, Census Tract 32, Philadelphia County, Pennsylvania",B03002_001,"335","118","335","70","254","0","45321",,,"216","188","28","0","183","155","28","118","59","104","11","17038",,,"78","74","35","11","79","77","35","75.81999999999999","15.83","0","39.29","100","12.96","12.96","176.78","79.09999999999999","0","-0.505727",Below Area Average,"3.434871",3.0 or Above
"421010172011","Block Group 1, Census Tract 172.01, Philadelphia County, Pennsylvania",B03002_001,"795","336","795","0","795","0","17005",,,"434","217","217","0","434","217","217","336","11","336","11","10796",,,"221","195","126","11","221","195","126","100","59.77","0","5.07","100","50","50","82.12","100","0","-2.137227",Below Area Average,"-3.228129",Below Area Average
"421019803002","Block Group 2, Census Tract 9803, Philadelphia County, Pennsylvania",B03002_001,"0","11","0","0","0","0",,,,"0","0","0","0","0","0","0","11","11","11","11",,,,"11","11","11","11","11","11","11",,,,,,,,,,,NULL,Insufficient Data,NULL,Insufficient Data
"421010003004","Block Group 4, Census Tract 3, Philadelphia County, Pennsylvania",B03002_001,"552","139","552","314","32","138","88194",,,"265","0","265","153","10","0","10","139","96","28","111","12768",,,"67","11","67","55","16","11","16","5.8","4.86","57.74","14.75","3.77","3.77","100","5.96","43.12","25",NULL,Insufficient Data,NULL,Insufficient Data
"421010365021","Block Group 1, Census Tract 365.02, Philadelphia County, Pennsylvania",B03002_001,"2849","580","2849","2402","0","88","79250",,,"1226","818","408","408","0","0","0","580","507","11","94","45304",,,"368","126","344","344","11","11","11","0","0.39","100","119.24","0","0","33.28","2.7","15.69","3.09","0.267573",0.0 - 0.5,"-0.620529",Below Area Average
"421010156002","Block Group 2, Census Tract 156, Philadelphia County, Pennsylvania",B03002_001,"985","413","985","22","207","0","28056",,,"292","88","204","52","71","22","49","413","23","147","11","27109",,,"68","41","75","38","36","24","31","21.02","12.04","25.49","16.1","24.02","16.78","69.86","12.37","97.77","0","-1.197027",Below Area Average,"4.142771",3.0 or Above
"421010195012","Block Group 2, Census Tract 195.01, Philadelphia County, Pennsylvania",B03002_001,"1591","624","1591","165","0","0","21178",,,"461","332","129","27","36","36","0","624","139","11","11","6877",,,"155","149","89","47","60","60","11","0","0.6899999999999999","20.93","33.45","0","0","27.98","8.529999999999999","89.63","0","-1.709127",Below Area Average,"-2.729929",Below Area Average
"421010072004","Block Group 4, Census Tract 72, Philadelphia County, Pennsylvania",B03002_001,"687","372","687","14","601","0","56964",,,"227","128","99","14","185","100","85","372","22","375","11","41802",,,"96","88","64","22","97","85","61","87.48","27.12","14.14","20.25","85.86","37.44","43.61","26.75","97.95999999999999","0","-1.617127",Below Area Average,"-1.531729",Below Area Average
"421010001012","Block Group 2, Census Tract 1.01, Philadelphia County, Pennsylvania",B03002_001,"0","11","0","0","0","0",,,,"0","0","0","0","0","0","0","11","11","11","11",,,,"11","11","11","11","11","11","11",,,,,,,,,,,NULL,Insufficient Data,NULL,Insufficient Data
"421010168002","Block Group 2, Census Tract 168, Philadelphia County, Pennsylvania",B03002_001,"1289","844","1289","196","968","21","10536",,,"523","161","362","32","452","161","291","844","399","491","31","3299",,,"189","93","187","42","170","93","170","75.09999999999999","62.2","8.84","10.67","80.39","55.64","69.22","21.93","84.79000000000001","1.63","-2.244327",Below Area Average,"-2.918129",Below Area Average
"421010177024","Block Group 4, Census Tract 177.02, Philadelphia County, Pennsylvania",B03002_001,"1566","551","1566","159","395","128","33545",,,"491","262","229","58","118","24","94","551","238","386","89","9132",,,"158","115","127","61","109","41","96","25.22","23","25.33","22.63","41.05","19.14","46.64","35.2","89.84999999999999","8.17","-1.961627",Below Area Average,"-2.235029",Below Area Average
"421010071023","Block Group 3, Census Tract 71.02, Philadelphia County, Pennsylvania",B03002_001,"537","171","537","29","508","0","18919",,,"385","252","133","0","367","234","133","171","39","161","11","4224",,,"113","105","94","11","108","101","94","94.59999999999999","42.5","0","8.27","100","34.55","34.55","99.95","94.59999999999999","0","-1.639827",Below Area Average,"-2.404629",Below Area Average
